Start Date,End Date,Event,Location,Country,City,State,Type,Technologies,Role,,,,,,,,,,,,,,,,,,,
04-07-2015,~,LZX Presentation for Tom Zicarelli,Berklee College of Music,US,Boston,MA,Lecture,AVS,,,,,,,,,,,,,,,,,,,,
02-23-2015,~,Create Digital Music,Arduivis is a new way to get your Arduino talking to Max,~,~,~ ,Publication,"MaxMSP, arduivis",,,,,,,,,,,,,,,,,,,,
02-18-2015,~,cycling74 [Facebook],Arduivis is a new way to get your Arduino talking to Max,~,~,~,Publication,"MaxMSP, arduivis",,,,,,,,,,,,,,,,,,,,
09-23-2014,09-24-2014,Advanced Audio & Applications Exchange,Hynes Convention Center,US,Boston ,MA,Installation,"Pure Data, Leap Motion",,,,,,,,,,,,,,,,,,,,
10-20-2014,~,NASA glove presentation,Brown University,US,Providence,RI,Poster Session,"MaxMSP, Physical Computing",,,,,,,,,,,,,,,,,,,,
10-07-2014,~,Symphonic Muse,M.I.T.,US,Cambridge,MA,Performance,Leap Motion,,,,,,,,,,,,,,,,,,,,
05-30-2014,~,Lecture on EEG Data Mapping,Berklee College of Music,US,Boston,MA,Lecture,"EEG, data sonification",,,,,,,,,,,,,,,,,,,,
05-18-2014,~,Lecture/Presentation on interconnectivity hacking,Diablo Glass Studio,US,Jamaica Plain,MA,Lecture,"Arduino, MaxMSP, Physical Computing",,,,,,,,,,,,,,,,,,,,
04-28-2014,~,Lecture/Demo/Seminar of custom Eurorack Modules for Richard Devine,Berklee College of Music,US,Boston,MA,Lecture,"Sound Design, Physical Computing",,,,,,,,,,,,,,,,,,,,
10-25-2013,10-27-2013,2nd International Csound Conference,Berklee College of Music,US,Boston ,MA,Installation,"Interactive space, sound design, arduino, drawing machine",,,,,,,,,,,,,,,,,,,,
10-01-2013,11-01-2013,Suburban Noir,The Museum of Sydney,Australia,Sydney,,Installation,Sound Design,,,,,,,,,,,,,,,,,,,,
04-12-2013,~,"Music & Science: Practice & Convergence [An Organic Symposium
welcoming musicians, scientists, educators, music therapists and educators, students, researchers, and others]",Berklee College of Music,US,Boston,MA,Lecture/Performance,"MaxMSP, Music Therapy",,,,,,,,,,,,,,,,,,,,
